test_position,source_row_index,true_crop,agreement_count,consensus_crop,models_agreeing_with_random_forest,rf_top_probability,rf_top_1_minus_top_2_margin,logistic_regression_prediction,decision_tree_prediction,knn_prediction,svm_prediction,gaussian_nb_prediction,random_forest_prediction
0,1609,orange,6,orange,6,0.970000000000,0.940000000000,orange,orange,orange,orange,orange,orange
1,1072,banana,6,banana,6,0.930000000000,0.890000000000,banana,banana,banana,banana,banana,banana
2,1912,cotton,6,cotton,6,1.000000000000,1.000000000000,cotton,cotton,cotton,cotton,cotton,cotton
3,100,maize,6,maize,6,0.990000000000,0.980000000000,maize,maize,maize,maize,maize,maize
4,1645,orange,5,orange,5,0.990000000000,0.980000000000,orange,orange,pomegranate,orange,orange,orange
5,221,chickpea,6,chickpea,6,1.000000000000,1.000000000000,chickpea,chickpea,chickpea,chickpea,chickpea,chickpea
6,28,rice,6,rice,6,0.990000000000,0.980000000000,rice,rice,rice,rice,rice,rice
7,701,blackgram,6,blackgram,6,0.970000000000,0.940000000000,blackgram,blackgram,blackgram,blackgram,blackgram,blackgram
8,1097,banana,6,banana,6,1.000000000000,1.000000000000,banana,banana,banana,banana,banana,banana
9,1638,orange,6,orange,6,1.000000000000,1.000000000000,orange,orange,orange,orange,orange,orange
10,1391,watermelon,6,watermelon,6,1.000000000000,1.000000000000,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon
11,901,pomegranate,6,pomegranate,6,1.000000000000,1.000000000000,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate
12,1386,watermelon,6,watermelon,6,1.000000000000,1.000000000000,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon
13,171,maize,6,maize,6,1.000000000000,1.000000000000,maize,maize,maize,maize,maize,maize
14,544,mothbeans,6,mothbeans,6,0.810000000000,0.740000000000,mothbeans,mothbeans,mothbeans,mothbeans,mothbeans,mothbeans
15,1264,grapes,6,grapes,6,1.000000000000,1.000000000000,grapes,grapes,grapes,grapes,grapes,grapes
16,1220,grapes,6,grapes,6,1.000000000000,1.000000000000,grapes,grapes,grapes,grapes,grapes,grapes
17,1154,mango,6,mango,6,1.000000000000,1.000000000000,mango,mango,mango,mango,mango,mango
18,1131,mango,6,mango,6,0.980000000000,0.970000000000,mango,mango,mango,mango,mango,mango
19,1514,apple,6,apple,6,1.000000000000,1.000000000000,apple,apple,apple,apple,apple,apple
20,795,blackgram,6,blackgram,6,0.990000000000,0.980000000000,blackgram,blackgram,blackgram,blackgram,blackgram,blackgram
21,1502,apple,6,apple,6,1.000000000000,1.000000000000,apple,apple,apple,apple,apple,apple
22,585,mothbeans,6,mothbeans,6,0.790000000000,0.610000000000,mothbeans,mothbeans,mothbeans,mothbeans,mothbeans,mothbeans
23,387,kidneybeans,6,kidneybeans,6,0.990000000000,0.980000000000,kidneybeans,kidneybeans,kidneybeans,kidneybeans,kidneybeans,kidneybeans
24,1591,apple,6,apple,6,0.980000000000,0.960000000000,apple,apple,apple,apple,apple,apple
25,2003,jute,6,jute,6,0.980000000000,0.970000000000,jute,jute,jute,jute,jute,jute
26,505,mothbeans,3,mango,3,0.890000000000,0.840000000000,mango,mothbeans,mango,mango,mothbeans,mothbeans
27,1342,watermelon,6,watermelon,6,1.000000000000,1.000000000000,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon
28,0,rice,6,rice,6,0.900000000000,0.800000000000,rice,rice,rice,rice,rice,rice
29,2106,coffee,6,coffee,6,1.000000000000,1.000000000000,coffee,coffee,coffee,coffee,coffee,coffee
30,1102,mango,6,mango,6,0.920000000000,0.900000000000,mango,mango,mango,mango,mango,mango
31,2086,jute,6,jute,6,0.930000000000,0.870000000000,jute,jute,jute,jute,jute,jute
32,1036,banana,6,banana,6,1.000000000000,1.000000000000,banana,banana,banana,banana,banana,banana
33,2167,coffee,6,coffee,6,1.000000000000,1.000000000000,coffee,coffee,coffee,coffee,coffee,coffee
34,2050,jute,6,jute,6,0.990000000000,0.980000000000,jute,jute,jute,jute,jute,jute
35,737,blackgram,6,blackgram,6,0.910000000000,0.830000000000,blackgram,blackgram,blackgram,blackgram,blackgram,blackgram
36,1298,grapes,6,grapes,6,1.000000000000,1.000000000000,grapes,grapes,grapes,grapes,grapes,grapes
37,1200,grapes,6,grapes,6,1.000000000000,1.000000000000,grapes,grapes,grapes,grapes,grapes,grapes
38,731,blackgram,6,blackgram,6,0.990000000000,0.980000000000,blackgram,blackgram,blackgram,blackgram,blackgram,blackgram
39,2042,jute,6,jute,6,0.930000000000,0.890000000000,jute,jute,jute,jute,jute,jute
40,1829,coconut,6,coconut,6,1.000000000000,1.000000000000,coconut,coconut,coconut,coconut,coconut,coconut
41,1716,papaya,6,papaya,6,0.990000000000,0.980000000000,papaya,papaya,papaya,papaya,papaya,papaya
42,1156,mango,6,mango,6,1.000000000000,1.000000000000,mango,mango,mango,mango,mango,mango
43,185,maize,6,maize,6,0.970000000000,0.950000000000,maize,maize,maize,maize,maize,maize
44,861,lentil,6,lentil,6,0.980000000000,0.960000000000,lentil,lentil,lentil,lentil,lentil,lentil
45,2022,jute,6,jute,6,0.940000000000,0.890000000000,jute,jute,jute,jute,jute,jute
46,1973,cotton,6,cotton,6,0.960000000000,0.940000000000,cotton,cotton,cotton,cotton,cotton,cotton
47,850,lentil,6,lentil,6,0.900000000000,0.840000000000,lentil,lentil,lentil,lentil,lentil,lentil
48,203,chickpea,6,chickpea,6,1.000000000000,1.000000000000,chickpea,chickpea,chickpea,chickpea,chickpea,chickpea
49,696,mungbean,6,mungbean,6,1.000000000000,1.000000000000,mungbean,mungbean,mungbean,mungbean,mungbean,mungbean
50,1737,papaya,6,papaya,6,0.930000000000,0.860000000000,papaya,papaya,papaya,papaya,papaya,papaya
51,961,pomegranate,6,pomegranate,6,0.990000000000,0.980000000000,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate
52,405,pigeonpeas,6,pigeonpeas,6,0.920000000000,0.850000000000,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas
53,1392,watermelon,6,watermelon,6,1.000000000000,1.000000000000,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon
54,1158,mango,6,mango,6,0.980000000000,0.970000000000,mango,mango,mango,mango,mango,mango
55,768,blackgram,5,blackgram,5,0.680000000000,0.440000000000,blackgram,lentil,blackgram,blackgram,blackgram,blackgram
56,1763,papaya,6,papaya,6,0.990000000000,0.980000000000,papaya,papaya,papaya,papaya,papaya,papaya
57,1798,papaya,6,papaya,6,1.000000000000,1.000000000000,papaya,papaya,papaya,papaya,papaya,papaya
58,2173,coffee,6,coffee,6,0.980000000000,0.960000000000,coffee,coffee,coffee,coffee,coffee,coffee
59,825,lentil,6,lentil,6,0.990000000000,0.980000000000,lentil,lentil,lentil,lentil,lentil,lentil
60,813,lentil,5,lentil,5,0.820000000000,0.710000000000,blackgram,lentil,lentil,lentil,lentil,lentil
61,539,mothbeans,6,mothbeans,6,0.960000000000,0.930000000000,mothbeans,mothbeans,mothbeans,mothbeans,mothbeans,mothbeans
62,2157,coffee,6,coffee,6,1.000000000000,1.000000000000,coffee,coffee,coffee,coffee,coffee,coffee
63,1032,banana,6,banana,6,0.970000000000,0.940000000000,banana,banana,banana,banana,banana,banana
64,1707,papaya,6,papaya,6,0.930000000000,0.900000000000,papaya,papaya,papaya,papaya,papaya,papaya
65,54,rice,6,rice,6,0.980000000000,0.960000000000,rice,rice,rice,rice,rice,rice
66,1630,orange,6,orange,6,0.980000000000,0.970000000000,orange,orange,orange,orange,orange,orange
67,1818,coconut,6,coconut,6,1.000000000000,1.000000000000,coconut,coconut,coconut,coconut,coconut,coconut
68,716,blackgram,6,blackgram,6,0.750000000000,0.610000000000,blackgram,blackgram,blackgram,blackgram,blackgram,blackgram
69,920,pomegranate,6,pomegranate,6,0.970000000000,0.940000000000,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate
70,1033,banana,6,banana,6,1.000000000000,1.000000000000,banana,banana,banana,banana,banana,banana
71,1458,muskmelon,6,muskmelon,6,1.000000000000,1.000000000000,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon
72,1369,watermelon,6,watermelon,6,1.000000000000,1.000000000000,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon
73,859,lentil,6,lentil,6,1.000000000000,1.000000000000,lentil,lentil,lentil,lentil,lentil,lentil
74,1096,banana,6,banana,6,1.000000000000,1.000000000000,banana,banana,banana,banana,banana,banana
75,1854,coconut,6,coconut,6,1.000000000000,1.000000000000,coconut,coconut,coconut,coconut,coconut,coconut
76,575,mothbeans,6,mothbeans,6,0.900000000000,0.820000000000,mothbeans,mothbeans,mothbeans,mothbeans,mothbeans,mothbeans
77,606,mungbean,6,mungbean,6,0.980000000000,0.960000000000,mungbean,mungbean,mungbean,mungbean,mungbean,mungbean
78,614,mungbean,6,mungbean,6,0.970000000000,0.950000000000,mungbean,mungbean,mungbean,mungbean,mungbean,mungbean
79,1171,mango,6,mango,6,0.990000000000,0.980000000000,mango,mango,mango,mango,mango,mango
80,2182,coffee,6,coffee,6,0.990000000000,0.980000000000,coffee,coffee,coffee,coffee,coffee,coffee
81,1399,watermelon,6,watermelon,6,0.960000000000,0.930000000000,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon
82,1473,muskmelon,6,muskmelon,6,1.000000000000,1.000000000000,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon
83,303,kidneybeans,6,kidneybeans,6,0.950000000000,0.910000000000,kidneybeans,kidneybeans,kidneybeans,kidneybeans,kidneybeans,kidneybeans
84,1149,mango,6,mango,6,0.860000000000,0.780000000000,mango,mango,mango,mango,mango,mango
85,937,pomegranate,6,pomegranate,6,0.910000000000,0.870000000000,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate
86,1697,orange,6,orange,6,0.980000000000,0.970000000000,orange,orange,orange,orange,orange,orange
87,1987,cotton,6,cotton,6,1.000000000000,1.000000000000,cotton,cotton,cotton,cotton,cotton,cotton
88,1851,coconut,6,coconut,6,0.990000000000,0.980000000000,coconut,coconut,coconut,coconut,coconut,coconut
89,1771,papaya,6,papaya,6,0.990000000000,0.980000000000,papaya,papaya,papaya,papaya,papaya,papaya
90,561,mothbeans,6,mothbeans,6,0.960000000000,0.940000000000,mothbeans,mothbeans,mothbeans,mothbeans,mothbeans,mothbeans
91,613,mungbean,6,mungbean,6,1.000000000000,1.000000000000,mungbean,mungbean,mungbean,mungbean,mungbean,mungbean
92,599,mothbeans,6,mothbeans,6,0.980000000000,0.970000000000,mothbeans,mothbeans,mothbeans,mothbeans,mothbeans,mothbeans
93,1960,cotton,6,cotton,6,1.000000000000,1.000000000000,cotton,cotton,cotton,cotton,cotton,cotton
94,2079,jute,6,jute,6,0.940000000000,0.880000000000,jute,jute,jute,jute,jute,jute
95,1225,grapes,6,grapes,6,1.000000000000,1.000000000000,grapes,grapes,grapes,grapes,grapes,grapes
96,1988,cotton,6,cotton,6,1.000000000000,1.000000000000,cotton,cotton,cotton,cotton,cotton,cotton
97,227,chickpea,6,chickpea,6,0.940000000000,0.910000000000,chickpea,chickpea,chickpea,chickpea,chickpea,chickpea
98,2026,jute,6,jute,6,0.970000000000,0.950000000000,jute,jute,jute,jute,jute,jute
99,1396,watermelon,6,watermelon,6,1.000000000000,1.000000000000,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon
100,1499,muskmelon,6,muskmelon,6,1.000000000000,1.000000000000,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon
101,989,pomegranate,6,pomegranate,6,0.990000000000,0.980000000000,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate
102,1601,orange,6,orange,6,0.990000000000,0.980000000000,orange,orange,orange,orange,orange,orange
103,497,pigeonpeas,6,pigeonpeas,6,0.980000000000,0.970000000000,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas
104,472,pigeonpeas,6,pigeonpeas,6,0.940000000000,0.900000000000,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas
105,1232,grapes,6,grapes,6,1.000000000000,1.000000000000,grapes,grapes,grapes,grapes,grapes,grapes
106,323,kidneybeans,6,kidneybeans,6,0.990000000000,0.980000000000,kidneybeans,kidneybeans,kidneybeans,kidneybeans,kidneybeans,kidneybeans
107,841,lentil,6,lentil,6,1.000000000000,1.000000000000,lentil,lentil,lentil,lentil,lentil,lentil
108,44,rice,6,rice,6,0.900000000000,0.830000000000,rice,rice,rice,rice,rice,rice
109,84,rice,6,rice,6,1.000000000000,1.000000000000,rice,rice,rice,rice,rice,rice
110,1551,apple,6,apple,6,1.000000000000,1.000000000000,apple,apple,apple,apple,apple,apple
111,647,mungbean,6,mungbean,6,1.000000000000,1.000000000000,mungbean,mungbean,mungbean,mungbean,mungbean,mungbean
112,678,mungbean,6,mungbean,6,1.000000000000,1.000000000000,mungbean,mungbean,mungbean,mungbean,mungbean,mungbean
113,1288,grapes,6,grapes,6,0.960000000000,0.920000000000,grapes,grapes,grapes,grapes,grapes,grapes
114,85,rice,6,rice,6,0.960000000000,0.930000000000,rice,rice,rice,rice,rice,rice
115,1456,muskmelon,6,muskmelon,6,1.000000000000,1.000000000000,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon
116,752,blackgram,6,blackgram,6,0.980000000000,0.970000000000,blackgram,blackgram,blackgram,blackgram,blackgram,blackgram
