candidate,mean_cv_macro_f1,std_cv_macro_f1,rank_cv_macro_f1,mean_cv_accuracy,std_cv_accuracy,rank_cv_accuracy,mean_fit_time_seconds,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight
2,0.995433308708,0.004643206979,1,0.995454545455,0.004615930912,1,0.891866016388,200,10,1,sqrt,,balanced
1,0.994864571482,0.004202228517,2,0.994886363636,0.004175266607,2,0.498500967026,100,10,2,log2,16.000000000000,
4,0.994282386283,0.006001809977,3,0.994318181818,0.005959141183,3,1.305301618576,300,4,1,log2,24.000000000000,
11,0.993693243625,0.006893867176,4,0.993750000000,0.006818181818,4,1.304366207123,300,4,2,log2,16.000000000000,balanced
14,0.993141566319,0.005308678556,5,0.993181818182,0.005269101418,5,0.652015113831,150,2,1,sqrt,16.000000000000,
15,0.993125617214,0.006699458436,6,0.993181818182,0.006626081699,5,1.277408027649,300,4,2,log2,24.000000000000,balanced
6,0.992567182960,0.006177017095,7,0.992613636364,0.006119505463,8,0.628390693665,150,6,5,log2,16.000000000000,balanced
3,0.992555769174,0.005926097226,8,0.992613636364,0.005849789853,7,0.888255882263,200,6,3,log2,24.000000000000,
10,0.991976929487,0.007144453825,9,0.992045454545,0.007050950935,10,0.918869113922,200,6,1,0.75,,balanced
9,0.991899999912,0.008546684654,10,0.992045454545,0.008311783431,9,0.889604043961,200,6,1,log2,8.000000000000,
12,0.990846211984,0.006662281181,11,0.990909090909,0.006577180058,12,1.057204151154,200,2,1,,,
5,0.990752423000,0.009312414256,12,0.990909090909,0.009055328097,11,0.854413127899,200,4,3,log2,8.000000000000,balanced
8,0.990215849000,0.008313010895,13,0.990340909091,0.008154943235,13,0.941872358322,200,4,2,0.75,24.000000000000,
16,0.988458179480,0.008674593457,14,0.988636363636,0.008427498281,14,1.342191267014,300,6,3,0.75,,balanced
7,0.987245594873,0.009126798431,15,0.987500000000,0.008728574713,15,0.934512138367,200,2,2,0.75,8.000000000000,
13,0.984999174890,0.006906357911,16,0.985227272727,0.006577180058,16,0.806246328354,150,4,2,,8.000000000000,balanced
