test_position,source_row_index,true_crop,feature,change_kind,requested_change,original_feature_value,perturbed_feature_value,clipped_to_training_range,original_predicted_crop,perturbed_predicted_crop,original_top_probability,perturbed_top_probability,original_top_3,perturbed_top_3,top_1_changed,original_top_1_minus_top_2_margin,perturbed_top_1_minus_top_2_margin,absolute_top_probability_change,original_top_1_rank_displacement
0,1609,orange,N,absolute,-10.000000000000,13.000000000000,3.000000000000,False,orange,orange,0.970000000000,0.960000000000,orange|pomegranate|apple,orange|pomegranate|apple,False,0.940000000000,0.920000000000,0.010000000000,0
1,1072,banana,N,absolute,-10.000000000000,98.000000000000,88.000000000000,False,banana,banana,0.930000000000,0.930000000000,banana|papaya|cotton,banana|papaya|cotton,False,0.890000000000,0.890000000000,0.000000000000,0
2,1912,cotton,N,absolute,-10.000000000000,140.000000000000,130.000000000000,False,cotton,cotton,1.000000000000,1.000000000000,cotton|apple|banana,cotton|apple|banana,False,1.000000000000,1.000000000000,0.000000000000,0
3,100,maize,N,absolute,-10.000000000000,71.000000000000,61.000000000000,False,maize,maize,0.990000000000,0.990000000000,maize|mothbeans|apple,maize|mothbeans|apple,False,0.980000000000,0.980000000000,0.000000000000,0
4,1645,orange,N,absolute,-10.000000000000,40.000000000000,30.000000000000,False,orange,orange,0.990000000000,1.000000000000,orange|pomegranate|apple,orange|apple|banana,False,0.980000000000,1.000000000000,0.010000000000,0
5,221,chickpea,N,absolute,-10.000000000000,25.000000000000,15.000000000000,False,chickpea,chickpea,1.000000000000,0.960000000000,chickpea|apple|banana,chickpea|kidneybeans|apple,False,1.000000000000,0.920000000000,0.040000000000,0
6,28,rice,N,absolute,-10.000000000000,60.000000000000,50.000000000000,False,rice,rice,0.990000000000,0.360000000000,rice|jute|apple,rice|papaya|pomegranate,False,0.980000000000,0.010000000000,0.630000000000,0
7,701,blackgram,N,absolute,-10.000000000000,25.000000000000,15.000000000000,False,blackgram,blackgram,0.970000000000,0.730000000000,blackgram|lentil|apple,blackgram|lentil|mothbeans,False,0.940000000000,0.580000000000,0.240000000000,0
8,1097,banana,N,absolute,-10.000000000000,110.000000000000,100.000000000000,False,banana,banana,1.000000000000,1.000000000000,banana|apple|blackgram,banana|apple|blackgram,False,1.000000000000,1.000000000000,0.000000000000,0
9,1638,orange,N,absolute,-10.000000000000,10.000000000000,0.000000000000,False,orange,orange,1.000000000000,1.000000000000,orange|apple|banana,orange|apple|banana,False,1.000000000000,1.000000000000,0.000000000000,0
